open_time,Readble_Date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,
1.57E+12,21/10/2019,8223.35,8333,8142.03,8197.27,30448.67954,1.57E+12,250117281.6,367169,16584.00038,136247602,0
1.57E+12,22/10/2019,8197.28,8297.99,8000,8020,34651.82866,1.57E+12,283535483.4,384699,16767.03682,137253196,0
1.57E+12,23/10/2019,8020.06,8047.59,7300,7466.62,63897.4571,1.57E+12,488220760.6,610241,28473.7303,217502083.4,0
1.57E+12,24/10/2019,7468.47,7503.68,7337.99,7412.41,32714.38327,1.57E+12,243246414.9,403778,16705.37636,124225722.5,0
1.57E+12,25/10/2019,7412.41,8799,7361,8655.02,90748.21817,1.57E+12,737329544.9,775418,49588.97661,402740312.2,0
1.57E+12,26/10/2019,8655.88,10370,8470.38,9230,162588.5854,1.57E+12,1522244166,1185369,81590.33653,764040095.6,0
1.57E+12,27/10/2019,9230,9794.98,9074.34,9529.93,93833.5416,1.57E+12,887438297.7,799978,47320.55467,447629005.4,0
1.57E+12,28/10/2019,9528.23,9902.1,9160,9205.14,80174.21732,1.57E+12,759178942.9,681128,39754.6815,376584590.2,0
1.57E+12,29/10/2019,9204.45,9550,9072,9407.62,64158.46245,1.57E+12,600611324.6,559589,32787.04917,307062268.4,0
1.57E+12,30/10/2019,9407.62,9409.84,9001.01,9154.72,55241.78643,1.57E+12,506584830,524035,27416.56175,251452283.2,0
1.57E+12,31/10/2019,9154.02,9405,8913,9140.85,54376.0249,1.57E+12,498152743.7,490183,27252.20354,249802680.7,0
1.57E+12,01/11/2019,9140.86,9279,9030,9231.61,43594.81412,1.57E+12,398803069,478002,22843.60504,209045155.9,0
1.57E+12,02/11/2019,9231.4,9373.74,9186.21,9289.52,28923.06083,1.57E+12,268119579.7,325421,15316.18786,141991067.2,0
1.57E+12,03/11/2019,9289.85,9362.57,9066.14,9194.71,27894.37828,1.57E+12,256664259.7,326024,13611.80656,125328511,0
1.57E+12,04/11/2019,9196.46,9513.68,9115.84,9393.35,45894.45628,1.57E+12,426792003.2,453749,24741.81593,230142613.2,0
1.57E+12,05/11/2019,9392.4,9454.95,9175.76,9308.66,45935.87367,1.57E+12,428156963.1,492885,22809.23956,212668961.4,0
1.57E+12,06/11/2019,9307.73,9440.91,9250.01,9339.05,37336.17037,1.57E+12,348607499.8,402997,18947.02413,176929534.9,0
1.57E+12,07/11/2019,9339.16,9375,9101,9216.2,39117.47085,1.57E+12,361217475.1,401984,19603.52357,181092296,0
1.57E+12,08/11/2019,9214,9261,8696,8773.73,62107.28924,1.57E+12,555589996,567331,30046.12929,268900339.3,0
1.57E+12,09/11/2019,8773.74,8880,8724.88,8809.41,29469.48141,1.57E+12,259733491.8,326730,14990.42225,132136096.3,0
1.57E+12,10/11/2019,8809.18,9147.19,8750,9039.47,34422.0298,1.57E+12,307316853.9,375946,17722.19709,158219187.7,0
1.57E+12,11/11/2019,9040.16,9072.32,8618.68,8733.27,44888.05355,1.57E+12,394585996.3,415982,22111.94306,194310323.9,0
